         79804477 function calls (79163147 primitive calls) in 1254.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1001.553 1001.553 1044.631 1044.631 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1252(<dictcomp>)
        7    0.004    0.001    0.302    0.043 <frozen importlib._bootstrap_external>:1034(get_data)
    15331    0.004    0.000    0.004    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/artist.py:851(get_animated)
     4041    0.004    0.000    0.004    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
       36    0.003    0.000    0.003    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      290    0.003    0.000    0.005    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/artist.py:180(__init__)
      783    0.003    0.000    0.012    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
       64    0.003    0.000    0.040    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/axis.py:1486(get_minorticklocs)
      926    0.003    0.000    0.004    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:194(set_children)
       28    0.003    0.000    0.003    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/function_base.py:1320(diff)
     1473    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      218    0.003    0.000    0.008    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/backend_bases.py:760(__init__)
       14    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.cleanup_path}
        1    0.003    0.003 1254.544 1254.544 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:278(__init__)
       15    0.003    0.000    0.014    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/indexes/base.py:2205(is_unique)
1324/1323    0.003    0.000    0.011    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:1851(transform_affine)
  362/358    0.003    0.000    0.010    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:1780(__eq__)
      783    0.003    0.000    0.003    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1770(<dictcomp>)
     9937    0.003    0.000    0.003    0.000 {function RcParams.__getitem__ at 0x7f03e1d8de50}
      952    0.003    0.000    0.005    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:885(get_siblings)
      472    0.002    0.000    0.006    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:1986(rotate)
     1236    0.002    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
     1839    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
       64    0.002    0.000    0.005    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/numeric.py:2359(within_tol)
      355    0.002    0.000    0.003    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/font_manager.py:717(set_family)
    492/2    0.002    0.000    0.540    0.270 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/artist.py:54(draw_wrapper)
